737142.0003472222, 18.3
737142.0010416667, 18.3
737142.0017361111, 18.3
737142.0024305555, 18.3
737142.003125, 18.31
737142.0038194444, 18.31
737142.0045138889, 18.31
737142.0052083334, 18.31
737142.0059027778, 18.3
737142.0065972222, 18.3
737142.0072916667, 18.3
737142.0079861111, 18.3
737142.0086805555, 18.3
737142.009375, 18.3
737142.0100694444, 18.31
737142.010763889, 18.3
737142.0114583333, 18.3
737142.0121527778, 18.31
737142.0128472223, 18.31
737142.0135416667, 18.31
737142.0142361111, 18.31
737142.0149305556, 18.31
737142.015625, 18.31
737142.0163194444, 18.31
737142.0170138889, 18.31
737142.0177083333, 18.31
737142.0184027777, 18.3
737142.0190972222, 18.3
737142.0197916667, 18.31
737142.020486111, 18.31
737142.0211805556, 18.31
737142.021875, 18.3
737142.0225694445, 18.3
737142.0232638889, 18.31
737142.0239583333, 18.31
737142.0246527778, 18.3
737142.0253472222, 18.31
737142.0260416666, 18.3
737142.0267361111, 18.31
737142.0274305556, 18.31
737142.028125, 18.3
737142.0288194445, 18.31
737142.0295138889, 18.31
737142.0302083333, 18.3
737142.0309027778, 18.3
737142.0315972222, 18.31
737142.0322916667, 18.31
737142.0329861111, 18.31
737142.0336805555, 18.31
737142.034375, 18.3
737142.0350694444, 18.3
737142.0357638889, 18.3
737142.0364583334, 18.31
737142.0371527778, 18.3
737142.0378472222, 18.31
737142.0385416667, 18.31
737142.0392361111, 18.31
737142.0399305555, 18.31
737142.040625, 18.31
737142.0413194444, 18.31
737142.042013889, 18.31
737142.0427083333, 18.31
737142.0434027778, 18.31
737142.0440972223, 18.31
737142.0447916667, 18.31
737142.0454861111, 18.3
737142.0461805556, 18.31
737142.046875, 18.31
737142.0475694444, 18.3
737142.0482638889, 18.31
737142.0489583333, 18.3
737142.0496527777, 18.31
737142.0503472222, 18.3
737142.0510416667, 18.31
737142.051736111, -1.0
737142.0524305556, -1.0
737142.053125, -1.0
737142.0538194445, -1.0
737142.0545138889, -1.0
737142.0552083333, -1.0
737142.0559027778, -1.0
737142.0565972222, -1.0
737142.0572916666, 18.31
737142.0579861111, -1.0
737142.0586805556, -1.0
737142.059375, -1.0
737142.0600694445, -1.0
737142.0607638889, -1.0
737142.0614583333, -1.0
737142.0621527778, 18.31
737142.0628472222, 18.3
737142.0635416667, 18.31
737142.0642361111, 18.31
737142.0649305555, 18.31
737142.065625, 18.3
737142.0663194444, 18.31
737142.0670138889, 18.31
737142.0677083334, 18.3
737142.0684027778, 18.3
737142.0690972222, -1.0
737142.0697916667, -1.0
737142.0704861111, 18.31
737142.0711805555, -1.0
737142.071875, -1.0
737142.0725694444, -1.0
737142.073263889, -1.0
737142.0739583333, -1.0
737142.0746527778, -1.0
737142.0753472223, -1.0
737142.0760416667, -1.0
737142.0767361111, -1.0
737142.0774305556, -1.0
737142.078125, -1.0
737142.0788194444, -1.0
737142.0795138889, 18.31
737142.0802083333, 18.31
737142.0809027777, 18.31
737142.0815972222, 18.31
737142.0822916667, 18.31
737142.082986111, 18.31
737142.0836805556, 18.31
737142.084375, 18.31
737142.0850694445, 18.31
737142.0857638889, 18.31
737142.0864583333, 18.31
737142.0871527778, 18.31
737142.0878472222, 18.31
737142.0885416666, 18.31
737142.0892361111, 18.31
737142.0899305556, 18.31
737142.090625, 18.31
737142.0913194445, -1.0
737142.0920138889, -1.0
737142.0927083333, -1.0
737142.0934027778, -1.0
737142.0940972222, -1.0
737142.0947916667, 18.31
737142.0954861111, -1.0
737142.0961805555, -1.0
737142.096875, -1.0
737142.0975694444, -1.0
737142.0982638889, -1.0
737142.0989583334, -1.0
737142.0996527778, -1.0
737142.1003472222, -1.0
737142.1010416667, -1.0
737142.1017361111, -1.0
737142.1024305555, -1.0
737142.103125, -1.0
737142.1038194444, -1.0
737142.104513889, -1.0
737142.1052083333, -1.0
737142.1059027778, 18.31
737142.1065972223, 18.31
737142.1072916667, 18.31
737142.1079861111, 18.3
737142.1086805556, 18.3
737142.109375, 18.31
737142.1100694444, 18.3
737142.1107638889, 18.3
737142.1114583333, 18.3
737142.1121527777, 18.31
737142.1128472222, 18.31
737142.1135416667, 18.31
737142.114236111, 18.31
737142.1149305556, 18.3
737142.115625, 18.31
737142.1163194445, 18.3
737142.1170138889, 18.31
737142.1177083333, 18.3
737142.1184027778, 18.31
737142.1190972222, 18.31
737142.1197916666, 18.31
737142.1204861111, 18.31
737142.1211805556, 18.31
737142.121875, 18.31
737142.1225694445, 18.31
737142.1232638889, 18.3
737142.1239583333, 18.31
737142.1246527778, 18.31
737142.1253472222, 18.31
737142.1260416667, 18.31
737142.1267361111, 18.31
737142.1274305555, 18.31
737142.128125, 18.31
737142.1288194444, 18.31
737142.1295138889, 18.3
737142.1302083334, 18.31
737142.1309027778, 18.31
737142.1315972222, 18.31
737142.1322916667, 18.31
737142.1329861111, 18.3
737142.1336805555, 18.31
737142.134375, 18.31
737142.1350694444, 18.3
737142.135763889, 18.31
737142.1364583333, 18.31
737142.1371527778, 18.3
737142.1378472223, 18.31
737142.1385416667, 18.31
737142.1392361111, 18.3
737142.1399305556, 18.31
737142.140625, 18.31
737142.1413194444, 18.31
737142.1420138889, 18.3
737142.1427083333, 18.31
737142.1434027777, 18.31
737142.1440972222, 18.31
737142.1447916667, 18.31
737142.145486111, 18.31
737142.1461805556, 18.31
737142.146875, 18.31
737142.1475694445, 18.3
737142.1482638889, 18.31
737142.1489583333, 18.3
737142.1496527778, 18.31
737142.1503472222, 18.31
737142.1510300926, 18.3
737142.151724537, 18.3
